Sample,Type,Success,delta_Jalpha,delta_Jy,delta_Jz,delta_m,delta_l,delta_epsilon_p,delta_epsilon_y,F1_trim,F2_trim,PitchToYawPeak_deg,PitchToYawPeak_percent,YawToPitchPeak_deg,YawToPitchPeak_percent,StaticPitchToYawMisalignment_percent,StaticYawToPitchMisalignment_percent,MaxAbsDeltaF1Cmd_N,MaxAbsDeltaF2Cmd_N,SaturationHit
0,nominal,1,0,0,0,0,0,0,0,0.54092016499684,-0.0144939121380613,0.173255759767789,5.77519199225964,0.248330638877014,4.96661277754028,1.00859878706216,14.6319143544577,0.749750387083307,0.59658418052932,0
1,stress,1,1,-1,1,1,-1,1,-1,0.594959909115006,-0.0111593319023382,0.35986090360296,11.995363453432,0.263715810741339,5.27431621482679,95.1171780060941,14.6063665348166,0.749750387083307,0.594994313503852,0
2,random,1,-0.722096484537496,-0.801453829066657,-0.263707713232546,0.304836455544736,-0.980297232442107,0.485127030164244,-0.993481172309665,0.557302814754638,-0.0104822222098659,0.331929181879738,11.0643060626579,0.231775444676682,4.63550889353364,95.0765545612258,14.5955132846671,0.749750387083307,0.594729334226813,0
3,random,1,-0.389659486712559,-0.272235466156699,-0.330676718047199,-0.0587784702167979,0.629211988841731,0.427665165243359,-0.293861188661332,0.537755853918645,-0.013138839926604,0.0634603461393373,2.11534487131124,0.236328037111944,4.72656074223888,73.2763731496001,14.6301222218845,0.749750387083307,0.595948200192254,0
4,random,1,0.0796371699802345,0.959739706435106,0.385104597687526,0.670781260820043,-0.0312652385032899,0.252320445624948,0.931852680088305,0.577416251879089,-0.0197970594326501,0.690798983179582,23.0266327726527,0.238741878268923,4.77483756537845,97.9994269097862,14.6861225626592,0.749750387083307,0.599103564105562,0
5,random,1,0.79614830645217,0.857059913666078,-0.295488520696105,-0.517499860808198,0.250372967414938,0.132281511634545,-0.28223671258945,0.512903346802203,-0.0125795527624329,0.0699915859483361,2.33305286494454,0.354436063793697,7.08872127587395,72.0113348677652,14.6223189183082,0.749750387083307,0.595628169022136,0
6,random,1,0.0818705938977244,0.152864553073729,-0.0133698017213157,0.26628173085451,-0.963320368963127,-0.63680011242743,-0.744652819140067,0.555122419513507,-0.011551567739689,0.205211759063621,6.84039196878737,0.267787599780622,5.35575199561244,92.509068148878,14.5813331670527,0.749750387083307,0.595207258270002,0
7,random,1,0.214682941306413,0.545872438657174,0.88102363033711,-0.681749113216142,-0.751221627789552,0.504256537504878,-0.274241291307404,0.504070811966275,-0.0123953216797823,0.0690676244172763,2.30225414724254,0.340298861715279,6.80597723430558,71.0845402816017,14.6333124322674,0.749750387083307,0.595546521741427,0
8,random,1,0.806515525870503,0.272201161777711,-0.432699568387418,0.19660657530832,-0.96665247691467,-0.0418603971343743,0.202046395579306,0.551580477218413,-0.015675401048135,0.285097584085614,9.50325280285381,0.335237204208946,6.70474408417891,63.8942294896037,14.6401024723953,0.749750387083307,0.597124050692095,0
9,random,1,-0.686635492881642,-0.497840282354189,-0.281375959426361,-0.498710650933833,0.391076421197771,-0.786082683557691,-0.998997334981646,0.513710784680398,-0.00963952774964048,0.309240370910018,10.3080123636673,0.258424347093973,5.16848694187946,95.1304316332187,14.5675834328292,0.749750387083307,0.594375984210834,0
10,random,1,0.404617160079663,-0.181799240734575,0.625251075139428,0.0666569174964364,0.877647405363288,-0.0277659350177615,0.18215267876177,0.544550151416613,-0.0153885239421734,0.267580487373029,8.91934957910096,0.245447366183621,4.90894732367242,59.6586066752765,14.6396299436104,0.749750387083307,0.597008390327092,0
11,random,1,0.523990521504601,0.277199983662743,-0.687974412548244,0.62386779080447,-0.162686589269197,-0.949571437070959,-0.76049255897088,0.574415201758551,-0.0118798933511365,0.219949363818463,7.33164546061545,0.257932807133218,5.15865614266436,92.7425761673442,14.5731802525033,0.749750387083307,0.595316960082335,0
12,random,1,0.481348201677575,0.657507606731676,0.766453035625279,-0.69809056648438,0.724173853712805,-0.623833235630466,-0.659621793356272,0.502988162331517,-0.0108105059934087,0.149672038470429,4.98906794901429,0.323319741204371,6.46639482408743,91.04865708264,14.5851691960801,0.749750387083307,0.594840374875417,0
13,random,1,0.235404736738565,-0.745175745839282,0.690412602049567,-0.107854624163842,-0.559603007581617,0.596724373881507,-0.0559559357211947,0.535169276000964,-0.0140990981594211,0.14530240950197,4.84341365006568,0.277849509930541,5.55699019861082,22.1706394002615,14.647495445333,0.749750387083307,0.596416353607569,0
14,random,1,0.259892230371065,-0.407466731082723,-0.837494306021738,0.614501237715712,-0.871745821060805,0.512852821919895,-0.566005230284646,0.574136196477192,-0.012771717053797,0.117793627923247,3.92645426410823,0.243480893351356,4.86961786702712,88.7908246611265,14.6183619026204,0.749750387083307,0.595758863658824,0
15,random,1,0.243227544672741,-0.545321891576473,0.821686237240145,0.942493873658434,0.0331866023908922,0.116950416943013,0.818593184433922,0.592068757304077,-0.0197603899347257,0.645319986621853,21.5106662207284,0.239553711584256,4.79107423168511,97.2165345814386,14.6752387268948,0.749750387083307,0.599075597608695,0
