Experiment,Description,Success,Elapsed_s,ErrorMessage
01_LQG_nominal_LIN,LQG nominale - plant linearizzato,1,56.0362403,
01_LQG_nominal_NL,LQG nominale - plant non lineare,1,55.7858502,
02_LQGI_nominal_NL,LQGI nominale - plant non lineare,1,73.1537641,
01b_LQG_sensor_noise_NL,LQG - plant NL con rumore di misura,1,102.1417471,
01c_LQG_sensor_actuator_noise_NL,LQG - plant NL con rumore di misura e attuazione,1,74.3863599,
01d_LQG_full_realism_NL,LQG - plant NL con rumori e disturbi aerodinamici,1,100.0817725,
03_LQG_disturbance_LIN,LQG - reiezione disturbo costante - plant linearizzato,1,79.1852716,
03_LQG_disturbance_NL,LQG - reiezione disturbo costante,1,88.1724102,
04_LQGI_disturbance_LIN,LQGI - reiezione disturbo costante - plant linearizzato,1,94.054116,
04_LQGI_disturbance_NL,LQGI - reiezione disturbo costante,1,101.9447437,
04b_LQGI_full_realism_NL,LQGI - plant NL con rumori e disturbi aerodinamici,1,144.629292,
05_LQGI_linear,LQGI - modello linearizzato,1,106.345403,
06_LQGI_nonlinear,LQGI - modello non lineare,1,38.977904,
07_mixsyn_nominal_LIN,mixsyn - nominale linearizzato,1,35.2017912,
07_mixsyn_nominal_NL,mixsyn - nominale non lineare,1,31.5158714,
08_hinfsyn_nominal_LIN,hinfsyn - nominale linearizzato,1,33.1661123,
08_hinfsyn_nominal_NL,hinfsyn - nominale non lineare,1,31.068805,
09_PIDcomp_nominal_LIN,hinfstruct PID + compensatore - nominale linearizzato,1,30.9545773,
09_PIDcomp_nominal_NL,hinfstruct PID + compensatore - nominale non lineare,1,33.3393149,
10_H2_nominal_LIN,H2 - nominale linearizzato,1,31.5023296,
10_H2_nominal_NL,H2 - nominale non lineare,1,30.9426878,
11_mixsyn_uncertain_NL,mixsyn - plant incerto non lineare con disturbo,1,32.8723477,
12_mu_uncertain_NL,mu-synthesis - plant incerto non lineare con disturbo,1,33.1472346,
13_H2_uncertain_NL,H2 - plant incerto non lineare con disturbo,1,33.1905249,
V1_mixsyn_uncertain_matched_LIN,mixsyn - realizzazione incerta matched - plant linearizzato,1,30.8221655,
V1_mixsyn_uncertain_matched_NL,mixsyn - realizzazione incerta matched - plant non lineare,1,30.5609729,
V2_mu_uncertain_matched_LIN,mu-synthesis - realizzazione incerta matched - plant linearizzato,1,31.223378,
V2_mu_uncertain_matched_NL,mu-synthesis - realizzazione incerta matched - plant non lineare,1,31.4087022,
V3_H2_uncertain_matched_LIN,H2 - realizzazione incerta matched - plant linearizzato,1,31.9653665,
V3_H2_uncertain_matched_NL,H2 - realizzazione incerta matched - plant non lineare,1,31.2118711,
14_RAS_inside_mu,mu-synthesis - punto interno alla mappa RAS numerica,1,85.5453237,
15_RAS_outside_mu,mu-synthesis - punto appena esterno alla mappa RAS numerica,1,90.9407025,
16_RAS_inside_H2,H2 - punto interno alla mappa RAS numerica,1,91.7881588,
17_RAS_outside_H2,H2 - punto appena esterno alla mappa RAS numerica,1,82.0287861,
